,ts_signal,side,entry_price,tp_price,sl_price,outcome,pnl,bars_held,exit_price
102,2020-09-29 17:00:00,SHORT,353.79,350.20937379614793,356.1770841359014,LOSS,-0.0067471780884179175,2,356.1770841359014
103,2020-09-29 23:00:00,LONG,359.61,363.00286675053934,357.34808883297376,LOSS,-0.006289900634093199,2,357.34808883297376
104,2020-09-30 04:00:00,SHORT,354.17,351.0770997493455,356.23193350043636,LOSS,-0.005821875089466469,1,356.23193350043636
105,2020-09-30 22:00:00,LONG,359.22,361.91797957550074,357.4213469496662,WIN,0.007510660808141835,4,361.91797957550074
106,2020-10-01 20:00:00,SHORT,351.5,345.0560566214752,355.79596225234985,WIN,0.018332698089686506,9,345.0560566214752
107,2020-10-04 19:00:00,LONG,352.58,355.04104254466785,350.9393049702214,LOSS,-0.004653397894885168,3,350.9393049702214
108,2020-10-06 13:00:00,SHORT,345.47,342.97331281865587,347.13445812089617,LOSS,-0.004817952704709938,2,347.13445812089617
109,2020-10-08 17:00:00,LONG,350.28,353.70565178875137,347.9962321408324,WIN,0.00977975273710002,17,353.70565178875137
110,2020-10-14 18:00:00,SHORT,375.97,371.6356601739181,378.85955988405465,LOSS,-0.007685612905430273,5,378.85955988405465
111,2020-10-18 12:00:00,LONG,373.32,375.27147311781596,372.019017921456,WIN,0.005227346827965191,2,375.27147311781596
112,2020-10-20 13:00:00,SHORT,369.84,366.536939599044,372.04204026730395,LOSS,-0.005954034899697089,2,372.04204026730395
113,2020-10-21 06:00:00,LONG,380.55,384.2194893438777,378.10367377074823,LOSS,-0.006428396345425781,1,378.10367377074823
114,2020-10-25 15:00:00,SHORT,407.61,403.8914615418982,410.08902563873454,WIN,0.009122785157630623,1,403.8914615418982
115,2020-10-27 19:00:00,LONG,407.17,411.45941656906405,404.31038895395733,LOSS,-0.007023137868808328,1,404.31038895395733
116,2020-10-28 09:00:00,SHORT,395.01,390.2944072452552,398.1537285031632,WIN,0.011937907280182321,2,390.2944072452552
117,2020-10-31 13:00:00,LONG,391.69,395.3349607049017,389.2600261967322,LOSS,-0.006203818844667429,2,389.2600261967322
118,2020-11-02 14:00:00,SHORT,384.97,380.21427471306896,388.1404835246207,WIN,0.012353495822872086,12,380.21427471306896
119,2020-11-04 16:00:00,LONG,401.25,406.5048339569491,397.7467773620339,WIN,0.013096159394265632,1,406.5048339569491
120,2020-11-10 16:00:00,SHORT,445.1,439.3085520434904,448.96096530433977,LOSS,-0.008674377228352601,4,448.96096530433977
121,2020-11-10 20:00:00,LONG,450.69,456.09414554055263,447.0872363062982,WIN,0.011990826378558729,4,456.09414554055263
122,2020-11-14 14:00:00,SHORT,461.0,454.99545425452834,465.0030304969811,WIN,0.013025045001023123,3,454.99545425452834
123,2020-11-16 19:00:00,LONG,462.37,466.72481840064614,459.46678773290256,LOSS,-0.00627898061530256,2,459.46678773290256
124,2020-11-20 00:00:00,SHORT,471.03,466.1345995743815,474.2936002837456,LOSS,-0.00692864633621135,1,474.2936002837456
125,2020-11-20 01:00:00,LONG,479.04,484.44394325236004,475.43737116509334,WIN,0.011280776662408197,2,484.44394325236004
126,2020-11-25 21:00:00,SHORT,577.01,565.4661977390252,584.7058681739832,WIN,0.020006242978414166,1,565.4661977390252
127,2020-11-28 18:00:00,LONG,542.39,551.7825471915772,536.1283018722818,LOSS,-0.011544641545231668,2,536.1283018722818
128,2020-12-04 14:00:00,SHORT,593.97,583.4378301580539,600.9914465612974,WIN,0.017731821206367564,2,583.4378301580539
129,2020-12-06 01:00:00,LONG,603.75,611.0359380704849,598.89270795301,LOSS,-0.00804520421861695,2,598.89270795301
130,2020-12-06 13:00:00,SHORT,587.22,579.1770743726702,592.5819504182199,LOSS,-0.009131075948060117,1,592.5819504182199
131,2020-12-06 15:00:00,LONG,594.31,602.2044358725445,589.0470427516369,WIN,0.013283363686534959,8,602.2044358725445
132,2020-12-07 18:00:00,SHORT,586.46,580.432837694128,590.4781082039148,LOSS,-0.006851461657938685,4,590.4781082039148
133,2020-12-12 12:00:00,LONG,558.47,564.9012207743066,554.1825194837957,LOSS,-0.007677190388390367,2,554.1825194837957
134,2020-12-12 14:00:00,SHORT,551.6,545.2204524956235,555.8530316695844,LOSS,-0.007710354730936189,3,555.8530316695844
135,2020-12-12 18:00:00,LONG,563.62,570.2680162242946,559.1879891838037,WIN,0.01179520993629496,2,570.2680162242946
136,2020-12-20 21:00:00,SHORT,633.44,623.0787703547835,640.3474864301445,WIN,0.016357081405052654,1,623.0787703547835
137,2020-12-25 05:00:00,LONG,610.25,620.3475896713643,603.5182735524238,WIN,0.016546644279171307,4,620.3475896713643
138,2021-01-01 18:00:00,SHORT,724.86,713.8188921309228,732.2207385793848,LOSS,-0.010154703776432435,5,732.2207385793848
139,2021-01-02 13:00:00,LONG,766.24,779.8864394065525,757.142373728965,LOSS,-0.011873076674455762,1,757.142373728965
140,2021-01-11 03:00:00,SHORT,1096.71,1023.6432937284071,1145.4211375143952,LOSS,-0.0444156955935436,7,1145.4211375143952
141,2021-01-13 23:00:00,LONG,1130.13,1169.283011607529,1104.0279922616476,LOSS,-0.023096464776930562,4,1104.0279922616476
142,2021-01-21 07:00:00,SHORT,1308.07,1257.040437922417,1342.0897080517218,WIN,0.03901133890203355,2,1257.040437922417
143,2021-01-23 07:00:00,LONG,1258.23,1299.74356590963,1230.5542893935801,LOSS,-0.02199574847716228,4,1230.5542893935801
144,2021-01-23 15:00:00,SHORT,1231.31,1192.8444846037205,1256.953676930853,LOSS,-0.020826336934527425,1,1256.953676930853
145,2021-01-23 16:00:00,LONG,1247.58,1286.2358357251164,1221.8094428499223,WIN,0.03098465487192525,11,1286.2358357251164
146,2021-01-26 09:00:00,SHORT,1314.03,1262.6137215403191,1348.3075189731205,WIN,0.03912869451966913,4,1262.6137215403191
147,2021-01-28 15:00:00,LONG,1344.78,1388.190353074534,1315.8397646169774,LOSS,-0.021520423699804118,12,1315.8397646169774
148,2021-01-31 15:00:00,SHORT,1313.63,1287.7571378309874,1330.878574779342,WIN,0.01969569983101231,2,1287.7571378309874
149,2021-02-02 00:00:00,LONG,1377.9,1405.6316505035556,1359.4122329976299,WIN,0.020126025476127116,6,1405.6316505035556
150,2021-02-07 05:00:00,SHORT,1619.98,1579.9143625493298,1646.6904249671136,LOSS,-0.016488120203405947,3,1646.6904249671136
151,2021-02-08 13:00:00,LONG,1680.5,1729.8348612760428,1647.610092482638,WIN,0.02935725157753218,2,1729.8348612760428
152,2021-02-11 05:00:00,SHORT,1720.64,1680.083699571049,1747.677533619301,LOSS,-0.01571364935099777,3,1747.677533619301
153,2021-02-11 09:00:00,LONG,1767.87,1805.3304452975653,1742.896369801623,WIN,0.021189592728857586,4,1805.3304452975653
154,2021-02-15 01:00:00,SHORT,1754.9,1723.2478872269396,1776.0014085153737,WIN,0.01803641960969883,1,1723.2478872269396
155,2021-02-15 20:00:00,LONG,1828.04,1862.5000968491,1805.0666021006,LOSS,-0.012567229327257593,1,1805.0666021006
156,2021-02-15 21:00:00,SHORT,1789.52,1753.2324100686928,1813.7117266208713,WIN,0.020277834241197158,3,1753.2324100686928
157,2021-02-16 04:00:00,LONG,1810.58,1846.7223189874103,1786.4851206750598,LOSS,-0.013307823639353228,2,1786.4851206750598
158,2021-02-16 13:00:00,SHORT,1777.09,1742.2974125253795,1800.2850583164136,WIN,0.019578404849850264,5,1742.2974125253795
159,2021-02-17 12:00:00,LONG,1826.23,1859.3194533389888,1804.1703644406741,LOSS,-0.012079330401606532,4,1804.1703644406741
160,2021-02-21 09:00:00,SHORT,1939.98,1894.3045678135254,1970.4302881243166,LOSS,-0.015696186622705676,1,1970.4302881243166
161,2021-02-21 10:00:00,LONG,1970.57,2016.5754013160122,1939.8997324559919,LOSS,-0.015564160392174895,2,1939.8997324559919
162,2021-02-21 21:00:00,SHORT,1919.41,1881.5549011016515,1944.6467325988992,WIN,0.019722257828368412,1,1881.5549011016515
163,2021-03-01 10:00:00,LONG,1522.83,1566.792436184455,1493.5217092103633,LOSS,-0.01924593735980816,6,1493.5217092103633
164,2021-03-04 21:00:00,SHORT,1516.5,1474.5637913579412,1544.4574724280392,LOSS,-0.018435524185980337,2,1544.4574724280392
165,2021-03-06 05:00:00,LONG,1572.49,1605.2609980489729,1550.6426679673514,LOSS,-0.013893463254232864,7,1550.6426679673514
166,2021-03-11 08:00:00,SHORT,1745.69,1700.6244753283627,1775.733683114425,LOSS,-0.017210205199333785,3,1775.733683114425
167,2021-03-11 21:00:00,LONG,1840.06,1880.8625417680303,1812.8583054879796,LOSS,-0.014783047570198998,3,1812.8583054879796
168,2021-03-12 11:00:00,SHORT,1775.47,1742.285091573974,1797.5932722840173,WIN,0.018690773950574294,2,1742.285091573974
169,2021-03-13 11:00:00,LONG,1873.41,1909.5493451097761,1849.3171032601492,WIN,0.01929067588503107,6,1909.5493451097761
170,2021-03-15 08:00:00,SHORT,1790.37,1753.0523430041649,1815.2484379972232,WIN,0.0208435446281132,1,1753.0523430041649
171,2021-03-17 21:00:00,LONG,1821.42,1848.935943453915,1803.0760376973901,LOSS,-0.010071242383750015,11,1803.0760376973901
172,2021-03-18 21:00:00,SHORT,1779.26,1751.9990434417655,1797.433971038823,WIN,0.015321513751916252,3,1751.9990434417655
173,2021-03-19 12:00:00,LONG,1813.7,1838.8300740968887,1796.946617268741,WIN,0.013855695041566201,16,1838.8300740968887
174,2021-03-21 04:00:00,SHORT,1769.82,1748.8374812532386,1783.8083458311742,LOSS,-0.007903824022315393,2,1783.8083458311742
175,2021-03-26 18:00:00,LONG,1658.09,1682.0409284933535,1642.1227143377644,WIN,0.014444890502538197,3,1682.0409284933535
176,2021-04-05 07:00:00,SHORT,2029.06,2000.7411243381343,2047.9392504412438,LOSS,-0.009304431826187403,4,2047.9392504412438
177,2021-04-05 12:00:00,LONG,2063.55,2090.7365577421633,2045.4256281718915,WIN,0.013174654232833287,2,2090.7365577421633
178,2021-04-07 10:00:00,SHORT,2005.9,1966.7025459850145,2032.0316360099905,LOSS,-0.01302738721271769,1,2032.0316360099905
179,2021-04-08 22:00:00,LONG,2069.3,2100.1881306672035,2048.707912888531,WIN,0.014926849981734554,28,2100.1881306672035
180,2021-04-17 16:00:00,SHORT,2352.77,2300.8981073208597,2387.3512617860933,LOSS,-0.01469810554626817,4,2387.3512617860933
181,2021-04-20 19:00:00,LONG,2323.12,2390.224439280213,2278.3837071465246,LOSS,-0.019256987522588302,9,2278.3837071465246
182,2021-04-23 05:00:00,SHORT,2230.35,2093.95791546546,2321.2780563563597,WIN,0.061152771777765874,2,2093.95791546546
183,2021-04-25 16:00:00,LONG,2348.77,2406.929091530516,2309.997272312989,LOSS,-0.01650767324472424,2,2309.997272312989
184,2021-04-25 20:00:00,SHORT,2214.09,2150.6796356152886,2256.3635762564745,LOSS,-0.019092980076001593,2,2256.3635762564745
185,2021-04-26 00:00:00,LONG,2413.85,2492.646988291122,2361.3186744725854,WIN,0.032643697119175606,10,2492.646988291122
186,2021-05-13 02:00:00,SHORT,3985.43,3752.1304110370857,4140.963059308609,WIN,0.0585381223513935,7,3752.1304110370857
187,2021-05-14 15:00:00,LONG,4129.63,4273.12716873749,4033.9652208416737,LOSS,-0.023165460140091576,4,4033.9652208416737
188,2021-05-15 13:00:00,SHORT,3882.88,3762.8301911488393,3962.913205900774,WIN,0.03091772314652032,3,3762.8301911488393
189,2021-05-24 15:00:00,LONG,2508.32,2651.3065633421065,2412.9956244385958,WIN,0.057004912986423725,4,2651.3065633421065
190,2021-05-28 06:00:00,SHORT,2552.92,2462.874226731059,2612.9505155126276,WIN,0.03527167841880711,2,2462.874226731059
191,2021-05-31 11:00:00,LONG,2556.18,2634.1239144713554,2504.2173903524294,WIN,0.03049234188177499,4,2634.1239144713554
192,2021-06-04 09:00:00,SHORT,2650.0,2567.5518429674726,2704.965438021685,WIN,0.0311125120877462,3,2567.5518429674726
193,2021-06-05 03:00:00,LONG,2765.03,2830.9188919921844,2721.104072005211,LOSS,-0.01588623920709329,6,2721.104072005211
194,2021-06-05 13:00:00,SHORT,2624.0,2547.768442236046,2674.8210385093025,LOSS,-0.01936777382214273,12,2674.8210385093025
195,2021-06-06 16:00:00,LONG,2726.79,2782.118884385059,2689.9040770766273,LOSS,-0.013527232725429028,1,2689.9040770766273
196,2021-06-07 22:00:00,SHORT,2624.32,2551.6960317572148,2672.735978828524,WIN,0.027673442355652278,4,2551.6960317572148
197,2021-06-10 02:00:00,LONG,2572.64,2639.336410094979,2528.175726603347,LOSS,-0.017283519418439024,3,2528.175726603347
198,2021-06-10 06:00:00,SHORT,2537.89,2477.0740453529074,2578.4339697647283,LOSS,-0.01597546377688885,4,2578.4339697647283
199,2021-06-10 10:00:00,LONG,2579.6,2642.1593902456166,2537.8937398362555,LOSS,-0.016167723741566307,2,2537.8937398362555
200,2021-06-10 14:00:00,SHORT,2519.99,2459.1044527070735,2560.580364861951,WIN,0.024161027342539568,3,2459.1044527070735
201,2021-06-13 20:00:00,LONG,2524.77,2575.891074540085,2490.6892836399434,LOSS,-0.01349854298017507,4,2490.6892836399434
202,2021-06-16 11:00:00,SHORT,2465.88,2430.234562447473,2489.6436250350184,WIN,0.014455463182526017,1,2430.234562447473
203,2021-06-24 17:00:00,LONG,2023.38,2068.790642725374,1993.1062381830843,LOSS,-0.01496197541584665,4,1993.1062381830843
204,2021-06-25 09:00:00,SHORT,1905.38,1863.2580550266032,1933.4612966489315,WIN,0.022106847439039415,2,1863.2580550266032
205,2021-06-27 22:00:00,LONG,1955.36,2001.8114458952248,1924.3923694031835,WIN,0.0237559558829192,9,2001.8114458952248
206,2021-07-01 16:00:00,SHORT,2081.98,2025.4834285619374,2119.6443809587086,LOSS,-0.01809065454937537,2,2119.6443809587086
207,2021-07-03 02:00:00,LONG,2142.0,2182.4731278183376,2115.0179147877748,LOSS,-0.012596678437079938,1,2115.0179147877748
208,2021-07-05 17:00:00,SHORT,2211.2,2163.906783429604,2242.728811046931,LOSS,-0.01425868806391596,2,2242.728811046931
209,2021-07-06 05:00:00,LONG,2320.33,2370.230690275291,2287.062873149806,LOSS,-0.014337239466021652,4,2287.062873149806
210,2021-07-08 04:00:00,SHORT,2243.72,2203.872942841318,2270.284704772454,WIN,0.017759371560926395,3,2203.872942841318
211,2021-07-11 21:00:00,LONG,2164.39,2192.1532153237536,2145.8811897841642,LOSS,-0.008551513459143519,2,2145.8811897841642
212,2021-07-12 12:00:00,SHORT,2109.31,2084.6250624594572,2125.7666250270286,WIN,0.011702849529250185,4,2084.6250624594572
